,id,dataset,p_training,model,r2,rmse,n_test,mll,n_train
19,20,qtls_li_hq,0.075,Additive,0.6638856585976359,0.06258378068620382,10002,1477.700927734375,1436
20,21,qtls_li_hq,0.075,Additive,0.6658258177345804,0.061548830202581194,10004,1610.62294921875,1509
21,22,qtls_li_hq,0.1,Additive,0.6857603999546321,0.05846097135233018,10001,2140.6515380859373,1989
22,23,qtls_li_hq,0.1,Additive,0.6754467574087096,0.06183779923513266,10004,2097.77041015625,1945
23,24,qtls_li_hq,0.1,Additive,0.6693848458112155,0.06274393374454691,10001,2157.078125,1998
24,25,qtls_li_hq,0.125,Additive,0.6751938432948319,0.05982238571984447,10004,2714.0966796875,2450
25,26,qtls_li_hq,0.125,Additive,0.6868863370639404,0.061532089209001384,10002,2680.56796875,2501
26,27,qtls_li_hq,0.125,Additive,0.67316227396736,0.06371372357702201,10003,2619.058642578125,2452
27,28,qtls_li_hq,0.15,Additive,0.6837091926372716,0.061826512540268,10002,3178.606884765625,2907
28,29,qtls_li_hq,0.15,Additive,0.6822828928167246,0.058588857438561036,10002,3162.956298828125,2902
29,30,qtls_li_hq,0.15,Additive,0.6812058324988021,0.059139355210888596,10005,3194.4208984375,2938
30,31,qtls_li_hq,0.175,Additive,0.6841544298029657,0.0582155337913128,10003,3809.19052734375,3414
31,32,qtls_li_hq,0.175,Additive,0.6844732269331194,0.05841258841208903,10003,3768.454833984375,3468
32,33,qtls_li_hq,0.175,Additive,0.6767592329877279,0.059714561196133366,10003,3850.0736328125,3509
33,34,qtls_li_hq,0.2,Additive,0.678751414698622,0.060778032616147094,10003,4334.05712890625,3990
34,35,qtls_li_hq,0.2,Additive,0.6860961382157293,0.05869264839615774,10000,4424.6076171875,4002
35,36,qtls_li_hq,0.2,Additive,0.6870607092440003,0.05888144553555083,10004,4336.441064453125,3948
36,37,qtls_li_hq,0.25,Additive,0.6868087406333767,0.05925633552593985,10002,5379.03232421875,4939
37,38,qtls_li_hq,0.25,Additive,0.6849409072577436,0.05883305824878954,10002,5414.21162109375,4894
38,39,qtls_li_hq,0.25,Additive,0.676369199778933,0.060764610612230936,10004,5501.81279296875,4975
39,40,qtls_li_hq,0.3,Additive,0.6819865270577951,0.05939400837963,10002,6546.31689453125,5903
40,41,qtls_li_hq,0.3,Additive,0.6850268060769328,0.05975651420581607,10002,6519.82763671875,5904
41,42,qtls_li_hq,0.3,Additive,0.6908439400005543,0.05888640735860834,10003,6692.34365234375,6002
42,43,qtls_li_hq,0.4,Additive,0.6888422619248206,0.05978723515506777,10005,8764.44345703125,7907
43,44,qtls_li_hq,0.4,Additive,0.6870867425416084,0.05856220906131686,10001,8847.15615234375,7943
44,45,qtls_li_hq,0.4,Additive,0.6886757874103481,0.061281149776031434,10002,8730.92470703125,7941
45,46,qtls_li_hq,0.5,Additive,0.6894984076103077,0.05736715579663934,9949,11164.204296875,9887
46,47,qtls_li_hq,0.5,Additive,0.6884411538626938,0.05927464734534053,9971,11044.520703125,9864
