,id,dataset,p_training,model,r2,rmse,n_test,mll,n_train
101,42,gb1,0.3,Global epistasis,0.6581918951697444,0.9330961250592524,10000,,45008
102,43,gb1,0.4,Global epistasis,0.6539694302136714,0.94486298822548,10000,,59451
103,44,gb1,0.4,Global epistasis,0.6627027946345739,0.9486177241276035,10000,,59512
104,45,gb1,0.4,Global epistasis,0.6673767454823041,0.9360675102357093,10000,,59671
105,46,gb1,0.5,Global epistasis,0.657392632804395,0.9567769300979156,10000,,74349
106,47,gb1,0.5,Global epistasis,0.662854165622865,0.9552204227276276,10000,,74766
107,48,gb1,0.5,Global epistasis,0.6381183274850829,0.95914487484581,10000,,74805
108,49,gb1,0.6,Global epistasis,0.6538929952015752,0.9410197809582672,10000,,89820
109,50,gb1,0.6,Global epistasis,0.6519340087533313,0.9437366586310695,10000,,89212
110,51,gb1,0.6,Global epistasis,0.6546852801099288,0.9510970456063268,10000,,90008
111,52,gb1,0.7,Global epistasis,0.653337706848333,0.9495618903650089,10000,,104328
112,53,gb1,0.7,Global epistasis,0.6712729741653352,0.9428057141448383,10000,,104835
113,54,gb1,0.7,Global epistasis,0.6573095446752887,0.9626019334361279,10000,,104525
114,55,gb1,0.8,Global epistasis,0.6674391213380602,0.9366336031174115,10000,,119593
115,56,gb1,0.8,Global epistasis,0.6533847824355088,0.9514315812554637,10000,,119733
116,57,gb1,0.8,Global epistasis,0.6549287413914999,0.9564361001764237,10000,,119356
117,58,gb1,0.9,Global epistasis,0.6480931509749868,0.962816416465831,10000,,134456
118,59,gb1,0.9,Global epistasis,0.6602271501345849,0.9475533499892453,10000,,134433
119,60,gb1,0.9,Global epistasis,0.6583867909237937,0.9378056101586721,10000,,134387
120,1,gb1,0.001,Pairwise,0.33244604855960286,1.3661219279327674,10000,-278.61806640625,142
121,2,gb1,0.001,Pairwise,0.3205337588020987,1.3346307917880968,10000,-256.32811279296874,139
122,3,gb1,0.001,Pairwise,0.1954994645913869,1.4744970225548863,10000,-270.6793243408203,158
123,4,gb1,0.0025,Pairwise,0.40555691802670296,1.2977956648604478,10000,-610.4374694824219,352
124,5,gb1,0.0025,Pairwise,0.4045976165853825,1.2194608640266316,10000,-629.7701232910156,350
125,6,gb1,0.0025,Pairwise,0.43578684516830696,1.2315594152073772,10000,-642.6587951660156,349
126,7,gb1,0.005,Pairwise,0.4960537533915162,1.1435065475327022,10000,-1292.13115234375,754
127,8,gb1,0.005,Pairwise,0.5156606042913359,1.1595060157142816,10000,-1309.0783935546874,764
128,9,gb1,0.005,Pairwise,0.5034141152365513,1.151463109972318,10000,-1298.3655029296874,743
129,10,gb1,0.01,Pairwise,0.5822439728103764,1.057177191224114,10000,-2510.0186279296877,1522
130,11,gb1,0.01,Pairwise,0.56821968453885,1.0676742737522866,10000,-2470.555126953125,1496
131,12,gb1,0.01,Pairwise,0.5532514362576534,1.0776697284676606,10000,-2318.6745849609374,1434
132,13,gb1,0.025,Pairwise,0.6555818741082593,0.9485361159131688,10000,-5652.92578125,3710
133,14,gb1,0.025,Pairwise,0.6751590158670709,0.9370115033883492,10000,-5850.893896484375,3833
134,15,gb1,0.025,Pairwise,0.6675134837647881,0.9425161885913118,10000,-5573.71279296875,3677
135,16,gb1,0.05,Pairwise,0.7270728228056648,0.8397920496049939,10000,-10821.0515625,7620
