,id,dataset,p_training,model,r2,rmse,n_test,mll,n_train
193,14,smn1,0.025,Variance Component,0.41193108131632383,16.513589415513707,10000,-3365.5513671875,802
194,15,smn1,0.025,Variance Component,0.46740974552907144,15.443870829805089,10000,-3452.0862060546874,798
195,16,smn1,0.05,Variance Component,0.5434022913273879,13.917521614530187,10000,-6414.11904296875,1512
196,17,smn1,0.05,Variance Component,0.5039025747356638,14.562691612911905,10000,-6432.853759765625,1512
197,18,smn1,0.05,Variance Component,0.5236633619749295,14.665531753259296,10000,-6553.00205078125,1546
198,19,smn1,0.075,Variance Component,0.5877388458025774,13.577206253822354,10000,-9771.06787109375,2391
199,20,smn1,0.075,Variance Component,0.552910688062839,13.844691837177539,10000,-9369.65244140625,2248
200,21,smn1,0.075,Variance Component,0.5652417997823062,14.233631562152127,10000,-9888.90283203125,2434
201,22,smn1,0.1,Variance Component,0.585094129524858,13.340286989829094,10000,-12766.4326171875,3117
202,23,smn1,0.1,Variance Component,0.594725011117003,13.663525612941601,10000,-12821.33720703125,3139
203,24,smn1,0.1,Variance Component,0.6161863834427608,12.962337377623044,10000,-12480.7486328125,3029
204,25,smn1,0.125,Variance Component,0.631920315578329,12.923649073389672,10000,-15332.83154296875,3748
205,26,smn1,0.125,Variance Component,0.6377252465242754,12.766987907490106,10000,-15836.55908203125,3887
206,27,smn1,0.125,Variance Component,0.6187007870470672,12.508820168188429,10000,-15508.7427734375,3820
207,28,smn1,0.15,Variance Component,0.6489743298560983,12.437653190885635,10000,-18514.1529296875,4568
208,29,smn1,0.15,Variance Component,0.655854419821859,11.791445649766633,10000,-19357.8134765625,4706
209,30,smn1,0.15,Variance Component,0.6296810047810261,12.181345059103613,10000,-19160.413671875,4726
210,31,smn1,0.175,Variance Component,0.6743734893420593,12.132350559230282,10000,-21459.345703125,5357
211,32,smn1,0.175,Variance Component,0.6620865870387581,12.452409533635892,10000,-21725.359765625,5396
212,33,smn1,0.175,Variance Component,0.6540653726058703,12.360027283985918,10000,-21473.4927734375,5423
213,34,smn1,0.2,Variance Component,0.6849464957209986,11.853904698965938,10000,-24344.794140625,6071
214,35,smn1,0.2,Variance Component,0.660676396759821,12.230727347586077,10000,-24270.2515625,6056
215,36,smn1,0.2,Variance Component,0.6774983485115391,11.964157740655867,10000,-24019.2880859375,6080
216,37,smn1,0.25,Variance Component,0.6937495671683103,11.297674090265243,10000,-30338.74296875,7626
217,38,smn1,0.25,Variance Component,0.6837415785109223,11.928608772896737,10000,-30637.41171875,7761
218,39,smn1,0.25,Variance Component,0.6977992301395856,11.291752877864413,10000,-30509.049609375,7641
219,40,smn1,0.3,Variance Component,0.7312938890268083,10.888707111948404,10000,-35884.987890625,9073
220,41,smn1,0.3,Variance Component,0.7189407341442497,11.488927398174887,10000,-36555.407421875,9281
221,42,smn1,0.3,Variance Component,0.7203268120744233,10.843627185692583,10000,-36072.63046875,9133
222,43,smn1,0.4,Variance Component,0.757212306302612,10.515282726915839,10000,-48465.2078125,12407
223,44,smn1,0.4,Variance Component,0.7417970626500641,10.853009326959903,10000,-48328.900390625,12379
224,45,smn1,0.4,Variance Component,0.7280715420064399,11.00576431619475,10000,-47627.836328125,12252
225,46,smn1,0.5,Variance Component,0.766632062240549,10.58846563304302,10000,-58908.70703125,15322
226,47,smn1,0.5,Variance Component,0.7653113125836971,9.948759623176368,10000,-59199.95234375,15318
227,48,smn1,0.5,Variance Component,0.758824690106032,10.103507039323857,10000,-59856.8890625,15444
228,49,smn1,0.6,Variance Component,0.7703234332593546,9.481273549326941,10000,-70939.0296875,18411
229,50,smn1,0.6,Variance Component,0.7849893498195283,9.752651533766537,10000,-70495.33359375,18413
230,51,smn1,0.6,Variance Component,0.7802685852535515,10.117476653854105,10000,-70541.20703125,18409
231,52,smn1,0.7,Variance Component,0.7814530476750119,9.876983599855683,9182,-81590.49609375,21550
232,53,smn1,0.7,Variance Component,0.7823007024731577,9.58243813057296,9302,-81440.8078125,21430
233,54,smn1,0.7,Variance Component,0.7918068350824283,9.536657876060254,9115,-82244.865625,21617
234,55,smn1,0.8,Variance Component,0.8089384423140881,9.173569119753397,6269,-92520.284375,24463
235,56,smn1,0.8,Variance Component,0.8071385757256735,8.939329537496361,6305,-92590.29296875,24427
236,57,smn1,0.8,Variance Component,0.7997539355671474,9.882868318601137,6169,-92483.0515625,24563
237,58,smn1,0.9,Variance Component,0.8157347392777637,8.346686532273358,3143,-103823.196875,27589
238,59,smn1,0.9,Variance Component,0.8182371150820531,8.763905801442341,3085,-103958.65,27647
239,60,smn1,0.9,Variance Component,0.8323347018639561,8.565927627647579,3136,-103796.0828125,27596
240,1,smn1,0.001,Exponential,0.1012134902134142,20.45183767590384,10000,-147.2171142578125,31
241,2,smn1,0.001,Exponential,0.11255892364991171,21.235426541548748,10000,-129.49563293457032,28
242,3,smn1,0.001,Exponential,0.02645010981601692,21.718501122639726,10000,-86.53738861083984,27
243,4,smn1,0.0025,Exponential,0.1622376200416919,19.5739668597381,10000,-330.28839111328125,72
244,5,smn1,0.0025,Exponential,0.018967899463881152,21.306057234817818,10000,-258.67218322753905,78
245,6,smn1,0.0025,Exponential,0.15390828820370953,20.501519609073572,10000,-334.8541290283203,71
246,7,smn1,0.005,Exponential,0.19129276395975325,19.065929478203337,10000,-627.2693237304687,142
247,8,smn1,0.005,Exponential,0.17049877304047015,19.35588538524993,10000,-648.7594055175781,151
248,9,smn1,0.005,Exponential,0.202275888016292,18.819844513028873,10000,-795.085888671875,184
249,10,smn1,0.01,Exponential,0.17862965931069338,18.524159253160494,10000,-1368.712353515625,320
250,11,smn1,0.01,Exponential,0.3171005662522064,17.496477274582254,10000,-1287.7986938476563,295
251,12,smn1,0.01,Exponential,0.278504559695086,18.471622179571774,10000,-1237.632421875,292
252,13,smn1,0.025,Exponential,0.4104600393513426,16.33609717501243,10000,-3202.9537109375,739
253,14,smn1,0.025,Exponential,0.39837557717266253,16.642251240361748,10000,-3359.6154541015626,802
254,15,smn1,0.025,Exponential,0.47592830724389285,15.3100879073781,10000,-3452.275244140625,798
255,16,smn1,0.05,Exponential,0.549725858412544,13.838058862140612,10000,-6440.7708984375,1512
256,17,smn1,0.05,Exponential,0.49817248055485003,14.62156156952254,10000,-6446.8572265625,1512
257,18,smn1,0.05,Exponential,0.5189285450938816,14.745663196984728,10000,-6547.680859375,1546
258,19,smn1,0.075,Exponential,0.5759281075483859,13.727371176041087,10000,-9772.94921875,2391
259,20,smn1,0.075,Exponential,0.5492635087041678,13.941082687027828,10000,-9379.7115234375,2248
260,21,smn1,0.075,Exponential,0.5528209558548913,14.41465821535554,10000,-9940.23291015625,2434
261,22,smn1,0.1,Exponential,0.5765853795386031,13.44147918023366,10000,-12766.55869140625,3117
262,23,smn1,0.1,Exponential,0.5886038553978783,13.756958788535513,10000,-12862.90234375,3139
263,24,smn1,0.1,Exponential,0.6097863439863607,13.12270216263922,10000,-12496.930859375,3029
264,25,smn1,0.125,Exponential,0.6264998023897891,12.963143267221213,10000,-15368.38759765625,3748
265,26,smn1,0.125,Exponential,0.6247497724117699,12.981844368084484,10000,-15849.49814453125,3887
266,27,smn1,0.125,Exponential,0.6099503148209127,12.635059026177013,10000,-15537.7578125,3820
267,28,smn1,0.15,Exponential,0.6363423238107292,12.596106473450053,10000,-18554.13203125,4568
268,29,smn1,0.15,Exponential,0.6476894193020801,11.990512499460078,10000,-19408.2185546875,4706
269,30,smn1,0.15,Exponential,0.6186020969285804,12.389565854203072,10000,-19247.04765625,4726
270,31,smn1,0.175,Exponential,0.6677931971651837,12.262692405289304,10000,-21548.9701171875,5357
271,32,smn1,0.175,Exponential,0.647315664070939,12.722395325978026,10000,-21813.3173828125,5396
272,33,smn1,0.175,Exponential,0.6408185095004122,12.608992440159065,10000,-21526.513671875,5423
273,34,smn1,0.2,Exponential,0.6632906181831,12.237126673384092,10000,-24614.626953125,6071
274,35,smn1,0.2,Exponential,0.6435573332368286,12.554601823375384,10000,-24325.546484375,6056
275,36,smn1,0.2,Exponential,0.6679118885460308,12.060150889719338,10000,-24110.270703125,6080
276,37,smn1,0.25,Exponential,0.6827670835553266,11.46134698515974,10000,-30493.674609375,7626
277,38,smn1,0.25,Exponential,0.6750984248055772,12.11478333057004,10000,-30772.259375,7761
278,39,smn1,0.25,Exponential,0.6908525291051876,11.412299725523328,10000,-30593.8884765625,7641
279,40,smn1,0.3,Exponential,0.7238770263666318,11.022846189946684,10000,-36034.90625,9073
280,41,smn1,0.3,Exponential,0.7090038490603314,11.674509614367313,10000,-36687.714453125,9281
281,42,smn1,0.3,Exponential,0.7083072061195969,11.091353894812682,10000,-36226.8609375,9133
282,43,smn1,0.4,Exponential,0.7504188273890604,10.632563288034557,10000,-48711.38203125,12407
283,44,smn1,0.4,Exponential,0.7358531706155155,10.972121267690648,10000,-48502.15625,12379
284,45,smn1,0.4,Exponential,0.7225566343730271,11.11132000179359,10000,-47747.48671875,12252
285,46,smn1,0.5,Exponential,0.7600321803458426,10.709825813953337,10000,-59090.325,15322
286,47,smn1,0.5,Exponential,0.7594521591569903,10.067202036046714,10000,-59487.304296875,15318
287,48,smn1,0.5,Exponential,0.7545383786804258,10.172577028716312,10000,-60069.660546875,15444
288,49,smn1,0.6,Exponential,0.7630800943377769,9.64059408115867,10000,-71203.5046875,18411
289,50,smn1,0.6,Exponential,0.7819837806076015,9.82929500043713,10000,-70711.5828125,18413
