,d,data,data_ns
ABBAAABA,5,-0.025848335298240807,2361238.0
ABBAABAA,5,-0.048220905812917825,2365462.0
ABBABAAA,5,-0.0364664397604237,2360942.0
ABBBAAAA,5,0.07573524511269383,7078854.0
BAAAAABB,5,0.0035539526091458635,2329480.0
BAAAABAB,5,-0.013178327397203366,2334264.0
BAAAABBA,5,0.004582855087582866,2333332.0
BAAABAAB,5,-0.01351492601380001,2329204.0
BAAABABA,5,0.003005652928380017,2328548.0
BAAABBAA,5,-0.008360606074400782,2332070.0
BAABAAAB,5,-0.03432156844785725,6993950.0
BAABAABA,5,0.013586300579702778,6993720.0
BAABABAA,5,-0.03182433405669332,7005158.0
BAABBAAA,5,-0.010301130587596621,6990070.0
BABAAAAB,5,-0.05421685003602206,2330790.0
BABAAABA,5,-0.03684021112429476,2330316.0
BABAABAA,5,-0.054770517600601164,2334456.0
BABABAAA,5,-0.05315858999761329,2330734.0
BABBAAAA,5,0.013462532032610159,6995032.0
BBAAAAAB,5,0.0006075871168392521,2338168.0
BBAAAABA,5,0.01712629102035934,2338652.0
BBAAABAA,5,-0.002894116428066004,2342432.0
BBAABAAA,5,-0.005855597158590437,2338680.0
BBABAAAA,5,-0.012027063169967548,7017788.0
BBBAAAAA,5,0.004886815754009303,2362764.0
AAAAAABB,6,-0.003633281139722102,6987586.0
AAAAABAB,6,-0.018067252199688258,7001702.0
AAAAABBA,6,-0.0023159328439447367,6998828.0
AAAABAAB,6,-0.02137576494595997,6986674.0
AAAABABA,6,-0.006164265999208523,6984512.0
AAAABBAA,6,-0.016197349558222603,6994952.0
AAABAAAB,6,-0.04327173614920436,20979244.0
AAABAABA,6,-0.00019458426853142586,20977766.0
AAABABAA,6,-0.042345427766260664,21012330.0
AAABBAAA,6,-0.026477759765748562,20966938.0
AABAAAAB,6,-0.06037396929205678,6990910.0
AABAAABA,6,-0.04407012912385588,6989774.0
AABAABAA,6,-0.06062405311283182,7001974.0
AABABAAA,6,-0.060956628263204256,6990618.0
AABBAAAA,6,-0.005145299295620851,20981638.0
ABAAAAAB,6,-0.009613076277896248,7003234.0
ABAAAABA,6,0.005537694525598646,7003692.0
ABAAABAA,6,-0.01277504242076686,7016202.0
ABAABAAA,6,-0.015865415892179213,7004658.0
ABABAAAA,6,-0.029261065867374238,21018856.0
ABBAAAAA,6,-0.04707026619215328,7073392.0
BAAAAAAB,6,-0.007197882016571002,6987938.0
BAAAAABA,6,0.007747426093679258,6986178.0
BAAAABAA,6,-0.010639594798533552,6999710.0
BAAABAAA,6,-0.010429649008952782,6985776.0
BAABAAAA,6,-0.03252953762197224,20977284.0
BABAAAAA,6,-0.051474511000304916,6989456.0
BBAAAAAA,6,0.0034695237869576505,7010146.0
AAAAAAAB,7,-0.013326372631526091,20961528.0
AAAAAABA,7,0.000842432125901507,20956410.0
AAAAABAA,7,-0.015876193799364478,20996120.0
AAAABAAA,7,-0.018688397120940104,20954628.0
AAABAAAA,7,-0.041430459825008856,62925692.0
AABAAAAA,7,-0.057954256693347334,20964794.0
ABAAAAAA,7,-0.006511100996715823,20998256.0
BAAAAAAA,7,-0.004275332756600332,20958220.0
AAAAAAAA,8,-0.01054946833902666,62870132.0
