,param,beta
136,0_53,-4.546046654272329e-08
137,0_54,-4.006917455661458e-08
138,0_55,-4.497815709257443e-08
139,0_56,-7.875332170091236e-08
140,0_57,-1.154514314654528e-07
141,0_58,-6.528908054943403e-08
142,0_59,5.110567840340721e-08
143,0_60,7.92304059610763e-08
144,0_61,1.128086607625212e-08
145,0_62,-2.700084747164187e-08
146,0_63,-6.009165349736568e-08
147,0_64,-9.709220434965158e-09
148,0_65,4.074515759390134e-08
149,0_66,-1.6421770113700974e-08
150,0_67,-4.770716285557024e-08
151,0_68,-2.5105563124585176e-08
152,0_69,-4.196251441107002e-09
153,0_70,-4.222667722427229e-09
154,0_71,-3.11604916204562e-08
155,0_72,-6.594518045772343e-08
156,0_73,-3.290168784504989e-08
157,0_74,1.9283537952871756e-08
158,0_75,1.174398452956471e-08
159,0_76,-3.2047808866836235e-08
160,0_77,2.963725305500232e-10
161,0_78,3.797756606244709e-08
162,0_79,-3.098338621110973e-08
163,0_80,-1.062688267662827e-07
164,0_81,4.925399291237583e-09
165,0_82,3.922736770249512e-08
166,1_2,2.3835757854285344e-08
167,1_3,6.775552182403665e-08
168,1_4,7.729435803850431e-08
169,1_5,-4.783084194072854e-08
170,1_6,-5.666769787318977e-08
171,1_7,-6.123627635423319e-08
172,1_8,-1.0237236895955363e-07
173,1_9,-1.8023752021863724e-08
174,1_10,-8.258709763111638e-08
175,1_11,2.6184709359629665e-09
176,1_12,-5.789841006681958e-08
177,1_13,-5.743452253104764e-08
178,1_14,4.8224140719549745e-08
179,1_15,1.9087464012621327e-08
180,1_16,1.6101786169608328e-08
181,1_17,1.106349656073202e-08
182,1_18,-1.947481526074119e-08
183,1_19,1.9540441431259493e-08
184,1_20,3.903389295202464e-09
185,1_21,-1.1235796301237128e-08
186,1_22,-5.2474277965472224e-08
187,1_23,5.081190765898104e-09
188,1_24,4.924469026633602e-08
189,1_25,6.046000207695903e-08
190,1_26,4.52989962579676e-08
191,1_27,-4.0299192113731885e-08
192,1_28,-1.2891531791234883e-08
193,1_29,6.989986337908124e-09
194,1_30,-2.3674121477253517e-08
195,1_31,-5.0938383415425255e-09
196,1_32,3.5174688843585995e-08
197,1_33,2.4936575703023758e-08
198,1_34,2.524269076753157e-08
199,1_35,-1.8165108219521895e-08
200,1_36,-9.222444777336774e-08
201,1_37,1.1261687150597726e-08
202,1_38,-8.004537879499829e-09
203,1_39,-8.282943157829088e-08
204,1_40,-7.174945745579832e-08
205,1_41,-6.238987311191637e-08
206,1_42,-3.823769047601449e-08
207,1_43,4.592944646341361e-09
208,1_44,3.502871046102706e-08
209,1_45,-3.165046730563337e-09
210,1_46,-4.9002460158858904e-08
211,1_47,1.0373105871409842e-07
